Review_Text,Review_Rating,Sentiment Class
The GT-1000 6 shoes do not fit anywhere as well as the GT-1000 4 did .,2,Negative
Seems it is now hit or miss with these shoes as far arch support is concerned .,2,Negative
My pinky toes have blisters from just a 30-minute run with socks .,2,Negative
I will not be buying these again .,2,Negative
I 'm sending these back .It looks like new balance have changed the way they size there shoes . .,2,Negative
I can not actually rate this product as I could not use it .,2,Neutral
Go Walk 3 was too large,2,Negative
It 's worse in the left shoe,2,Negative
I give these 2 stars because they do not breathe very well .,2,Negative
does not render the expected running comfort .,2,Negative
but it is actually normal width .,2,Neutral
It is too bad that Asics took a good model like the Gel - Nimbus and turned it into something as uncomfortable as these were .,2,Negative
These shoes did not last nearly as long as I expected .,2,Negative
They are very comfortable .,2,Positive
I returned those & got my $ back ...,2,Negative
If you sometimes have to go a half size bigger to get certain shoes to fit right then do not order these .,2,Negative
Seems like it is really sized for women .,2,Negative
It is a very light weight shoe so that 's a positive .,2,Positive
Sent back first pair - Too small for some reason .,2,Negative
nice looking shoes,2,Positive
I have bought tons of stuff on Amazon over the years without one return .,2,Positive
mid - foot and toe cushioning feels inadequate in comparison,2,Negative
but feel like a running shoe bonus .,2,Positive
Their traction has been great .,2,Positive
The only reason I gave it two stars is that they are well made,2,Neutral
Another good shoe to compare this to is the X Ultra 2 .,2,Positive
These are the most expensive running shoes that I 've ever purchased .,2,Negative
I get a lot of pain in one of my feet after a 5 mile run and the shoe feels cramped all the time .,2,Negative
I would have thrown them away and bought another pair .,2,Negative
So I wanted something fashionable And these Skechers do have great look that 's way I give 2 stars .,2,Positive
. I found Skechers and nike mostly right on the money,2,Positive
These shoes wo n't last long .,2,Negative
Not happy ...,2,Negative
They lack support are flimsy and feel poorly constructed .,2,Negative
I have never had this problem with any other shoes .,2,Negative
The bottom layer of the soul is peeling away at the outside edges of both shoes .,2,Negative
The New Balance Vazee Rush shoes just do n't do it for me .,2,Negative
have 3 times the durability of these and no hole developing ... probably will not buy these again ... as of now,2,Negative
The style of these shoes is amazing .... but they are much much too narrow in comparison with other brands .,2,Positive
but unfortunately they are the least durable shoes we 've ever purchased .,2,Negative
getting the Shadow Originals rather than the Shadow 6000,2,Neutral
Touched were the missing part was and then noticed that the whole thing of tread actually wanted to come unstuck .,2,Negative
BOO THIS SHOE,2,Negative
Run very untrue to size .,2,Negative
Shoals inserts but still when I put them on my foot feels like being barefoot . I would not buy this version again .,2,Negative
My price was very cheap ( $ 26.83 ) so normally that does not buy much of a shoe,2,Negative
I decided to try these shoes based on the reviews .,2,Positive
I wore them everyday to workI am on my feet alot but my shoes do n't take a lot of abuse .,2,Negative
But they are comfortable .,2,Positive
I have to return it twice .,2,Negative
The shoes were therefore r eturned,2,Negative
shoe didn t last but 6 month,2,Negative
Received my second pair and I 've lost one spike in two rounds of golf .,2,Negative
I 've always been a faithful New Balance customer because it 's one of the few brands without an absurd arch support that hits my foot,2,Positive
Fits too tight around front width of foot and does not break in after a few uses .,2,Negative
Not my favorite nikes .,2,Negative
Ordered a full size bigger and even in wide they are too tight .,2,Negative
But I suffer from over pronation . I 've always bought these shoes .,2,Negative
The New Balance gets 5 stars .,2,Positive
That results in the shoe / foot rolling outwards,2,Negative
They did not have very much toe room .,2,Negative
I expected better quality from new balance,2,Negative
but that 's not the reason why I gave them 2 stars .,2,Neutral
The shoes tend to rub the top of feet at the toes .,2,Negative
